variant,total_return,cagr,annual_vol,sharpe,max_drawdown,avg_turnover,cycles
alpha_only_earnings_momentum,0.020590814071876684,169.06583905307687,0.0,5188885146112.91,0.0,0.922869,1.0
alpha_only_short_interest,0.01967976541605765,134.79316424141655,0.0,4959300884846.503,0.0,0.9099599999999999,1.0
alpha_only_quality_profitability,0.019435241765991096,126.8291915969628,0.0,4897680925029.733,0.0,0.920871,1.0
alpha_only_options_iv_term_structure,0.019345316283007064,124.0188792168367,0.0,4875019703317.78,0.0,0.9112920000000001,1.0
alpha_only_block_deals,0.019303298192185903,122.72692732376781,0.0,4864431144430.867,0.0,0.9100090000000001,1.0
no_private_alpha,0.018803012510403505,108.3290455976053,0.0,4738359152621.711,0.0,0.895978,1.0
no_microstructure,0.018803012510403505,108.3290455976053,0.0,4738359152621.711,0.0,0.895978,1.0
no_research_council,0.018803012510403505,108.3290455976053,0.0,4738359152621.711,0.0,0.895978,1.0
no_alpha_pipeline,0.018803012510403505,108.3290455976053,0.0,4738359152621.711,0.0,0.895978,1.0
full,0.018803012510403505,108.3290455976053,0.0,4738359152621.711,0.0,0.895978,1.0
no_ai_native_v2,0.018803012510403505,108.3290455976053,0.0,4738359152621.711,0.0,0.895978,1.0
core_strategies_only,0.018803012510403505,108.3290455976053,0.0,4738359152621.711,0.0,0.895978,1.0
no_event_driven,0.018803012510403505,108.3290455976053,0.0,4738359152621.711,0.0,0.895978,1.0
no_quality_profitability,0.018803012510403505,108.3290455976053,0.0,4738359152621.711,0.0,0.895978,1.0
alpha_only_pead_signal,0.018803012510403505,108.3290455976053,0.0,4738359152621.711,0.0,0.895978,1.0
no_pead_signal,0.018803012510403505,108.3290455976053,0.0,4738359152621.711,0.0,0.895978,1.0
ai_alpha_enabled,0.01879734248631504,108.17582135589045,0.0,4736930306551.367,0.0,0.89645,1.0
alpha_only_analyst_revisions,0.018673506872362244,104.88217971042019,0.0,4705723731835.267,0.0,0.8896299999999999,1.0
alpha_only_volume_liquidity_shock,0.01858223831753958,102.51824610865948,0.0,4682724056019.956,0.0,0.8979109999999999,1.0
ai_native_combo,0.016395528366636603,59.229868817538815,0.0,4131673148392.4077,0.0,0.744833,1.0
bayesian_optimizer_enabled,0.01638663098606674,59.097149284301764,0.0,4129431008488.842,0.0,0.744065,1.0
