,SPY,QQQ,IWM,TLT,GLD
2020-07-06,0.0,-0.2,0.0,0.0,0.2
2020-07-13,0.0,-0.2,0.0,0.0,0.2
2020-07-20,0.0,-0.063721,-0.136544,0.0,0.2
2020-07-27,0.0,-0.063721,-0.136544,0.0,0.2
2020-08-03,0.0,-0.038239,-0.081941,0.119968,5.3e-05
2020-08-10,0.0,-0.038239,-0.081941,0.119968,5.3e-05
2020-08-17,0.0,-0.009747,-0.130134,0.119968,5.3e-05
2020-08-24,0.0,-0.009747,-0.130134,0.119968,5.3e-05
2020-08-31,0.0,-0.117909,-0.035006,0.147559,5.3e-05
2020-09-08,0.0,-0.117909,-0.035006,0.147559,5.3e-05
2020-09-15,0.0,0.06772,-0.019457,0.082016,-0.133226
2020-09-22,0.0,0.06772,-0.019457,0.082016,-0.133226
2020-09-29,0.0,0.037041,-0.019457,-0.091046,0.063035
2020-10-06,0.0,0.037041,-0.019457,-0.091046,0.063035
2020-10-13,0.0,-0.161218,-0.019457,-0.037489,0.202426
2020-10-20,0.0,-0.161218,-0.019457,-0.037489,0.202426
2020-10-27,0.0,-0.062657,-0.090892,0.06876,0.078672
2020-11-03,0.0,-0.062657,-0.090892,0.06876,0.078672
2020-11-10,0.0,0.098348,-0.05054,0.038233,-0.089443
2020-11-17,0.0,0.098348,-0.05054,0.038233,-0.089443
2020-11-24,0.0,0.04762,-0.179213,0.018512,0.111434
2020-12-02,0.0,0.04762,-0.179213,0.018512,0.111434
2020-12-09,0.0,0.019608,-0.250264,0.018512,0.222355
2020-12-16,0.0,0.019608,-0.250264,0.018512,0.222355
2020-12-23,0.0,0.019608,-0.193725,0.127588,0.063455
2020-12-31,0.0,0.019608,-0.193725,0.127588,0.063455
2021-01-08,0.0,0.019608,-0.193725,0.163704,0.018678
2021-01-15,0.0,0.019608,-0.193725,0.163704,0.018678
2021-01-25,0.0,0.019608,-0.193725,0.163704,0.018678
2021-02-01,0.0,0.019608,-0.193725,0.163704,0.018678
2021-02-08,0.119609,0.003098,-0.119378,0.085825,0.130332
2021-02-16,0.119609,0.003098,-0.119378,0.085825,0.130332
2021-02-23,0.049251,0.003098,-0.225626,0.21181,0.053666
2021-03-02,0.049251,0.003098,-0.225626,0.21181,0.053666
2021-03-09,0.020533,0.176218,-0.268993,0.088306,0.022374
2021-03-16,0.020533,0.176218,-0.268993,0.088306,0.022374
2021-03-23,0.020533,0.030276,-0.119849,0.088306,0.022374
2021-03-30,0.020533,0.030276,-0.119849,0.088306,0.022374
2021-04-07,0.020533,-0.127292,0.080453,0.046177,0.022374
2021-04-14,0.020533,-0.127292,0.080453,0.046177,0.022374
2021-04-21,0.020533,-0.228885,0.209598,0.019014,0.022374
2021-04-28,0.020533,-0.228885,0.209598,0.019014,0.022374
2021-05-05,0.020533,-0.141008,0.129126,0.126894,-0.101397
2021-05-12,0.020533,-0.141008,0.129126,0.126894,-0.101397
2021-05-19,0.020533,0.055951,0.071457,0.070222,-0.190095
2021-05-26,0.020533,0.055951,0.071457,0.070222,-0.190095
2021-06-03,0.184925,0.023039,0.029423,0.028915,-0.254745
2021-06-10,0.184925,0.023039,0.029423,0.028915,-0.254745
2021-06-17,0.115736,0.023039,-0.09383,0.028915,-0.047188
2021-06-24,0.115736,0.023039,-0.09383,0.028915,-0.047188
2021-07-01,0.063116,-0.123832,-0.05117,0.028915,0.110662
2021-07-09,0.063116,-0.123832,-0.05117,0.028915,0.110662
2021-07-16,0.037294,-0.073169,0.092503,-0.105653,0.065387
2021-07-23,0.037294,-0.073169,0.092503,-0.105653,0.065387
2021-07-30,0.01521,-0.029842,0.181769,-0.043091,-0.117374
2021-08-06,0.01521,-0.029842,0.181769,-0.043091,-0.117374
2021-08-13,0.01521,-0.029842,-0.022753,-0.024798,0.059811
2021-08-20,0.01521,-0.029842,-0.022753,-0.024798,0.059811
2021-08-27,0.01521,-0.188758,0.167102,-0.024798,0.024628
2021-09-03,0.01521,-0.188758,0.167102,-0.024798,0.024628
