,SPY,QQQ,IWM,TLT,GLD
2020-07-06,0.0,-0.2,0.0,0.0,0.2
2020-07-13,0.0,-0.2,0.0,0.0,0.2
2020-07-20,0.0,-0.063721,-0.136544,0.0,0.2
2020-07-27,0.0,-0.063721,-0.136544,0.0,0.2
2020-08-03,0.0,-0.038239,-0.081941,0.119968,5.3e-05
2020-08-10,0.0,-0.038239,-0.081941,0.119968,5.3e-05
2020-08-17,0.0,-0.009747,-0.130134,0.119968,5.3e-05
2020-08-24,0.0,-0.009747,-0.130134,0.119968,5.3e-05
2020-08-31,0.0,-0.117909,-0.035006,0.147559,5.3e-05
2020-09-08,0.0,-0.117909,-0.035006,0.147559,5.3e-05
2020-09-15,0.0,0.067719,-0.019457,0.082016,-0.133226
2020-09-22,0.0,0.067719,-0.019457,0.082016,-0.133226
2020-09-29,0.0,0.037041,-0.019457,-0.091046,0.063035
2020-10-06,0.0,0.037041,-0.019457,-0.091046,0.063035
2020-10-13,0.0,-0.161218,-0.019457,-0.037489,0.202426
2020-10-20,0.0,-0.161218,-0.019457,-0.037489,0.202426
2020-10-27,0.0,-0.062657,-0.090893,0.06876,0.078672
2020-11-03,0.0,-0.062657,-0.090893,0.06876,0.078672
2020-11-10,0.0,0.098348,-0.05054,0.038234,-0.089443
2020-11-17,0.0,0.098348,-0.05054,0.038234,-0.089443
2020-11-24,0.0,0.047619,-0.179213,0.018512,0.111434
2020-12-02,0.0,0.047619,-0.179213,0.018512,0.111434
2020-12-09,0.0,0.019608,-0.250264,0.018512,0.222355
2020-12-16,0.0,0.019608,-0.250264,0.018512,0.222355
2020-12-23,0.0,0.019608,-0.193726,0.127589,0.063456
2020-12-31,0.0,0.019608,-0.193726,0.127589,0.063456
2021-01-08,0.0,0.019608,-0.193726,0.163704,0.018678
2021-01-15,0.0,0.019608,-0.193726,0.163704,0.018678
2021-01-25,0.0,0.019608,-0.193726,0.163704,0.018678
2021-02-01,0.0,0.019608,-0.193726,0.163704,0.018678
2021-02-08,0.119609,0.003098,-0.119378,0.085825,0.130332
2021-02-16,0.119609,0.003098,-0.119378,0.085825,0.130332
2021-02-23,0.049251,0.003098,-0.225626,0.21181,0.053666
2021-03-02,0.049251,0.003098,-0.225626,0.21181,0.053666
2021-03-09,0.020533,0.176218,-0.268993,0.088306,0.022374
2021-03-16,0.020533,0.176218,-0.268993,0.088306,0.022374
2021-03-23,0.020533,0.030276,-0.119849,0.088306,0.022374
2021-03-30,0.020533,0.030276,-0.119849,0.088306,0.022374
2021-04-07,0.020533,-0.127293,0.080453,0.046177,0.022374
2021-04-14,0.020533,-0.127293,0.080453,0.046177,0.022374
