,equity
2019-06-24,0.9992127436556857
2019-07-24,1.0004795470581884
2019-08-22,0.9991811826510155
2019-09-23,1.003963091032082
2019-10-22,1.0036763128374473
2019-11-20,1.003256452516101
2019-12-20,1.0065515342558937
2020-01-23,1.0074416476373824
2020-02-24,0.9857189662478465
2020-03-24,1.0373427347671134
2020-04-23,1.0386036222982293
2020-05-22,1.041721655863173
2020-06-23,1.0446771987592356
2020-07-23,1.0350140284559919
2020-08-21,1.0341603572092157
2020-09-22,1.04112929382524
2020-10-21,1.0393593526950144
2020-11-19,1.0428709699360732
2020-12-21,1.0408574116439682
2021-01-22,1.0401294056740154
2021-02-23,1.0407566813311313
2021-03-24,1.0367596865675806
2021-04-23,1.0482766922042814
2021-05-24,1.0583439183838392
2021-06-23,1.058436031523191
2021-07-23,1.0678157377228414
2021-08-23,1.0742357617795397
2021-09-22,1.0833320787762366
2021-10-21,1.0816044856840485
2021-11-19,1.0760967011479778
2021-12-21,1.091445470076099
2022-01-21,1.080333211690805
2022-02-22,1.075113607156101
2022-03-23,1.0825605841966086
2022-04-22,1.0599929484338733
2022-05-23,1.0737459483368261
2022-06-23,1.0645018520830773
2022-07-25,1.080429071339268
2022-08-23,1.087754732848311
2022-09-22,1.0796188225664765
2022-10-21,1.1031455510274089
2022-11-21,1.1005493405288977
2022-12-21,1.1139247474432976
2023-01-24,1.1149884274228747
2023-02-23,1.117893045507375
2023-03-24,1.1182137766764246
2023-04-25,1.1060842790848748
2023-05-24,1.0971381720395592
2023-06-26,1.089971938608478
2023-07-26,1.0901933363963674
2023-08-24,1.0721255108129932
2023-09-25,1.0749381419580912
2023-10-24,1.0772281168760562
2023-11-22,1.0809397831857712
2023-12-22,1.0815949879010496
2024-01-25,1.0880403942201826
2024-02-26,1.085113230481757
2024-03-26,1.0828487333948764
2024-04-25,1.079746305081577
2024-05-24,1.086242817786248
2024-06-26,1.0838391988837432
2024-07-26,1.0947195612960199
2024-08-26,1.0951015730325786
2024-09-25,1.0916315612434664
2024-10-24,1.0921656993606201
2024-11-22,1.0981894034689124
2024-12-24,1.1095880266502633
2025-01-28,1.1112928317620512
2025-02-27,1.1021064739355988
2025-03-28,1.0941205858617509
2025-04-29,1.0933202515429827
2025-05-29,1.096835229388987
2025-06-30,1.1026059144005849
2025-07-30,1.0960943448768454
2025-08-28,1.10081821133994
2025-09-29,1.1073642670946446
2025-10-28,1.1076613760766094
2025-11-26,1.1174682440743298
2025-12-29,1.0925905487002396
2026-01-29,1.0937503076904054
