asset,mean_contribution,cum_contribution,avg_abs_weight
GLD,0.00020486441671388665,0.0024576123904116454,0.0560215
XLY,0.00019555776138563397,0.002347302434653642,0.04687375000000001
XLI,0.00019016888080662677,0.0022830082911735605,0.02014675
IWM,9.832682653276518e-05,0.0011798341708832982,0.019435333333333332
XLC,9.386367918576669e-05,0.0011248030975732348,0.027823583333333332
EEM,8.223006114461394e-05,0.0009869068917514046,0.02719416666666667
XLV,5.939409972345462e-05,0.000709911129911589,0.037745249999999994
XLF,4.4599521804392695e-05,0.0005344153145399044,0.01709875
XLP,4.312554203736419e-05,0.000517381785824611,0.0176815
TIP,3.35862717156862e-05,0.00040298534412275266,0.03824616666666667
HYG,1.2118857738357882e-05,0.00014510578884441294,0.025319166666666667
SLV,6.972207085506842e-06,7.753045008196402e-05,0.03869725
SHY,3.88301870719815e-06,4.6591654479843925e-05,0.113665
XLE,0.0,0.0,0.0
EFA,0.0,0.0,0.0
XLRE,0.0,0.0,0.0
MDY,-4.86838112370678e-06,-5.8429895941070065e-05,0.010223166666666667
USMV,-5.353178191074121e-06,-6.45574447922792e-05,0.015342333333333333
USO,-8.323037968845144e-06,-9.987645562614667e-05,0.0017461666666666667
LQD,-2.9821243081339503e-05,-0.00035787784087726315,0.025432083333333338
IEF,-3.289312575122685e-05,-0.0003948866184231292,0.050569166666666665
QQQ,-0.00010195333861848753,-0.0012491444644181504,0.1032415
QUAL,-0.00013498172379504986,-0.0016256823898302963,0.030705
TLT,-0.00016208857598243477,-0.0019456969604636498,0.04001591666666666
XLK,-0.00016724224798584514,-0.0020343534918531025,0.0954545
SPY,-0.0002235874371514324,-0.0026854123853197187,0.03254708333333333
XLU,-0.0003027783487113437,-0.003634142288726494,0.03222
MTUM,-0.0003452698142518251,-0.004142032225439518,0.04846066666666667
