asset,mean_contribution,cum_contribution,avg_abs_weight
SLV,0.00021438087273888454,0.01725380888488459,0.042390320987654315
GLD,0.0001577997575008314,0.012807285532146162,0.05997654320987653
XLC,9.001803498714274e-05,0.007307134483248268,0.050426679012345675
XLK,7.318748947931415e-05,0.0059131203379410024,0.06164501234567901
XLRE,4.49953161573636e-05,0.0036454907195666575,0.03129975308641975
LQD,3.958747115376574e-05,0.0032097127240680035,0.01608640740740741
QQQ,3.399276564181102e-05,0.0027300375303069835,0.06059035802469136
TLT,2.8529552945996012e-05,0.002311549837795024,0.014655320987654319
TIP,1.492732698510223e-05,0.0012096172805780014,0.01594293827160494
QUAL,1.3846397271608702e-05,0.00111534857521578,0.04406087654320987
SHY,1.1246908063178239e-05,0.0009112965561821618,0.06284907407407408
IEF,4.575431711338751e-06,0.0003704067716949755,0.019688975308641977
XLV,4.118505139464619e-06,0.0003270660293401839,0.02414865432098765
USMV,-4.3001688528450645e-06,-0.0003517247651259048,0.03080417283950617
HYG,-4.737306843129221e-06,-0.0003840080774221155,0.02449895061728395
XLP,-5.97795171907322e-06,-0.00048736365417390015,0.028318728395061724
MTUM,-1.9162956751289346e-05,-0.0015644886796436497,0.03820014814814814
SPY,-2.943306395112242e-05,-0.0023895759792514903,0.03096366666666666
EFA,-4.345915915310765e-05,-0.0035212546125227284,0.027871481481481476
XLF,-4.5066192446692024e-05,-0.003656766838375458,0.04853519753086419
EEM,-5.5070972812861346e-05,-0.004461819318742344,0.02257316049382716
XLY,-5.880373433197237e-05,-0.004761461179125126,0.0315222962962963
XLI,-6.046508206603976e-05,-0.004892428308367003,0.04090439506172839
MDY,-8.020070044346192e-05,-0.006480599023736544,0.02022341975308642
XLU,-9.462930451494987e-05,-0.007683945834435657,0.04126692592592593
IWM,-0.00011015311034652262,-0.008899767226084432,0.023180814814814814
USO,-0.0001373121948449599,-0.01112219231772682,0.03553918518518519
XLE,-0.0002866028195269979,-0.023016902102149683,0.04701007407407408
