asset,mean_contribution,cum_contribution,avg_abs_weight
XLE,0.00019034812462504142,0.004479990363612352,0.11836870833333334
EFA,1.3710405616625866e-05,0.00032682124897553955,0.03969220833333333
XLC,4.9920207549191725e-06,0.00011515523878391498,0.05058895833333333
EEM,1.2992905436991798e-06,3.114607844389994e-05,0.00541875
SHY,3.3993745428332986e-07,8.156159400529717e-06,0.01083325
TLT,0.0,0.0,0.0
LQD,-5.193776159887584e-06,-0.0001246576356276341,0.0037489166666666665
USO,-1.9761116341016152e-05,-0.0005283268617334302,0.067907625
HYG,-2.2426082873114907e-05,-0.0005381294023091288,0.009100166666666666
TIP,-4.62155288358003e-05,-0.0011086803721310767,0.008474958333333333
QUAL,-4.9306934900816524e-05,-0.0011854796332918527,0.046433833333333334
IEF,-5.211976287597828e-05,-0.0012502230209759935,0.011174541666666668
MTUM,-5.221981507473635e-05,-0.001253230842829689,0.012119999999999999
IWM,-7.214606133221171e-05,-0.0017303616428460122,0.011097833333333335
MDY,-7.748898341594705e-05,-0.0018584976163935618,0.018477166666666666
USMV,-8.727540478426658e-05,-0.002092919064654142,0.026503083333333333
XLI,-8.870916212616181e-05,-0.002129032306488976,0.04396816666666666
GLD,-0.00011162054536575519,-0.0026770888259375347,0.04129545833333333
XLU,-0.00017773715436224819,-0.0042729846661937465,0.066565125
SLV,-0.0002076132852444303,-0.00497404087217812,0.03335841666666667
XLF,-0.00021801238843009054,-0.00522259235372069,0.02852570833333333
XLV,-0.00022969624422059992,-0.005502511302042379,0.05258995833333333
QQQ,-0.00023135433567347967,-0.0055453001840239935,0.05482937499999999
SPY,-0.00026075944707689525,-0.006244740077781197,0.0319085
XLP,-0.0002661957281494187,-0.006373380477017743,0.06177975
XLRE,-0.0002747894623642302,-0.006579542282757478,0.029243625
XLY,-0.00034599684230119835,-0.00827876327324717,0.036569333333333336
XLK,-0.00047069435358648167,-0.011249701393106548,0.06977458333333333
