Date,cash
2020-01-02,981652.0576959992
2020-01-03,981652.0576959992
2020-01-06,981652.0576959992
2020-01-07,981652.0576959992
2020-01-08,981652.0576959992
2020-01-09,981652.0576959992
2020-01-10,981652.0576959992
2020-01-13,981652.0576959992
2020-01-14,981652.0576959992
2020-01-15,981652.0576959992
2020-01-16,981652.0576959992
2020-01-17,981652.0576959992
2020-01-21,981652.0576959992
2020-01-22,981652.0576959992
2020-01-23,981652.0576959992
2020-01-24,981652.0576959992
2020-01-27,981652.0576959992
2020-01-28,981652.0576959992
2020-01-29,981652.0576959992
2020-01-30,981652.0576959992
2020-01-31,981652.0576959992
2020-02-03,981652.0576959992
2020-02-04,981652.0576959992
2020-02-05,981652.0576959992
2020-02-06,981652.0576959992
2020-02-07,981652.0576959992
2020-02-10,981652.0576959992
2020-02-11,981652.0576959992
2020-02-12,981652.0576959992
2020-02-13,981652.0576959992
2020-02-14,981652.0576959992
2020-02-18,981652.0576959992
2020-02-19,981652.0576959992
2020-02-20,981652.0576959992
2020-02-21,981652.0576959992
2020-02-24,981652.0576959992
2020-02-25,981652.0576959992
2020-02-26,981652.0576959992
2020-02-27,981652.0576959992
2020-02-28,981652.0576959992
2020-03-02,981652.0576959992
2020-03-03,981652.0576959992
2020-03-04,981652.0576959992
2020-03-05,981652.0576959992
2020-03-06,981652.0576959992
2020-03-09,981652.0576959992
2020-03-10,981652.0576959992
2020-03-11,981652.0576959992
2020-03-12,981652.0576959992
2020-03-13,981652.0576959992
2020-03-16,981652.0576959992
2020-03-17,981652.0576959992
2020-03-18,981652.0576959992
2020-03-19,981652.0576959992
2020-03-20,981652.0576959992
2020-03-23,981652.0576959992
2020-03-24,981652.0576959992
2020-03-25,981652.0576959992
2020-03-26,981652.0576959992
2020-03-27,981652.0576959992
2020-03-30,981652.0576959992
2020-03-31,981652.0576959992
2020-04-01,981652.0576959992
2020-04-02,982029.5423694282
2020-04-03,982029.5423694282
2020-04-06,982182.9552651008
2020-04-07,982182.9552651008
2020-04-08,982434.6786797255
2020-04-09,981984.6456924075
2020-04-13,982145.942725208
2020-04-14,981983.1488402694
2020-04-15,981983.1488402694
2020-04-16,981983.1488402694
2020-04-17,982141.6078644455
2020-04-20,982141.6078644455
2020-04-21,981998.121356163
2020-04-22,981998.121356163
2020-04-23,981998.121356163
2020-04-24,981998.121356163
2020-04-27,981998.121356163
2020-04-28,981998.121356163
2020-04-29,981998.121356163
2020-04-30,981998.121356163
2020-05-01,981998.121356163
2020-05-04,981998.121356163
2020-05-05,981998.121356163
2020-05-06,981998.121356163
2020-05-07,981998.121356163
2020-05-08,981998.121356163
2020-05-11,981998.121356163
2020-05-12,981998.121356163
2020-05-13,981998.121356163
2020-05-14,981998.121356163
2020-05-15,981998.121356163
2020-05-18,982121.3081867498
2020-05-19,982121.3081867498
2020-05-20,982121.3081867498
2020-05-21,982121.3081867498
2020-05-22,982121.3081867498
2020-05-26,982121.3081867498
2020-05-27,982121.3081867498
2020-05-28,982121.3081867498
2020-05-29,981932.2822221535
2020-06-01,981932.2822221535
2020-06-02,981905.1732173288
2020-06-03,982064.6615193881
2020-06-04,982064.6615193881
2020-06-05,981960.3439342008
2020-06-08,982046.1145535541
2020-06-09,982074.154459899
2020-06-10,981809.0856362289
2020-06-11,981758.9614475913
2020-06-12,982031.1943013167
2020-06-15,981448.772793467
2020-06-16,981585.0899169903
2020-06-17,981740.5617527722
2020-06-18,981604.288283359
2020-06-19,982396.2549483996
2020-06-22,982883.3898971309
2020-06-23,982228.8922518059
2020-06-24,982199.6048107728
2020-06-25,982218.4407783789
2020-06-26,982107.2949895472
2020-06-29,982273.8083700896
2020-06-30,982296.7171590201
2020-07-01,982181.2340460637
2020-07-02,982181.2340460637
2020-07-06,982181.2340460637
2020-07-07,981780.1779313243
2020-07-08,981780.1779313243
2020-07-09,981630.076969445
2020-07-10,981694.4926936316
2020-07-13,981774.9242232891
2020-07-14,981663.1754385973
2020-07-15,981723.8891538887
2020-07-16,981751.9729004733
2020-07-17,981662.2955664812
2020-07-20,981662.2955664812
2020-07-21,981452.1796275775
2020-07-22,981731.04321318
2020-07-23,981664.8657805367
2020-07-24,981664.8657805367
2020-07-27,981744.6846237812
2020-07-28,981785.1292195691
2020-07-29,981676.371127358
2020-07-30,981492.4824824791
2020-07-31,981376.1001053872
2020-08-03,981376.1001053872
2020-08-04,981493.2517744986
2020-08-05,981420.6529384383
2020-08-06,981778.9146757685
2020-08-07,981708.1479075332
2020-08-10,981708.1479075332
2020-08-11,981528.1512346319
2020-08-12,981618.3999269983
2020-08-13,981399.9073482273
2020-08-14,981399.9073482273
2020-08-17,981616.1054866923
2020-08-18,981441.7203011442
2020-08-19,981668.1227468664
2020-08-20,981623.3679905122
2020-08-21,981623.3679905122
2020-08-24,981664.5668850277
2020-08-25,981475.7265900897
2020-08-26,981520.8832495383
2020-08-27,981288.7560059464
2020-08-28,981337.3915024736
2020-08-31,981473.726617722
2020-09-01,981288.547061163
2020-09-02,981522.2629395276
2020-09-03,981894.3233941317
2020-09-04,981709.1693556282
2020-09-08,982081.1742681888
2020-09-09,982257.062364633
2020-09-10,981704.3078023423
2020-09-11,981826.6308156616
2020-09-14,981688.0290266585
2020-09-15,981733.085957348
2020-09-16,981733.085957348
2020-09-17,981904.6724354601
2020-09-18,982162.6756924675
2020-09-21,981902.9494252742
2020-09-22,981902.9494252742
2020-09-23,982194.3818091966
2020-09-24,982194.3818091966
2020-09-25,982369.1993711302
2020-09-28,982369.1993711302
2020-09-29,982229.3497303575
2020-09-30,981918.6952289921
