,GLD,IWM,QQQ,SPY,TLT
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.032338,0.0,-0.032338
2020-07-27,0.0,0.0,0.032338,0.0,-0.032338
2020-08-03,0.0,0.0,0.032338,0.0,-0.032338
2020-08-10,0.0,0.0,0.032338,0.0,-0.032338
2020-08-17,0.105304,0.10334,0.058529,-0.036866,-0.160638
2020-08-24,0.105304,0.10334,0.058529,-0.036866,-0.160638
2020-08-31,0.144437,-0.074161,0.19524,-0.036866,-0.207293
2020-09-08,0.144437,-0.074161,0.19524,-0.036866,-0.207293
2020-09-15,0.088876,-0.005211,0.112034,0.053161,-0.152442
2020-09-22,0.088876,-0.005211,0.112034,0.053161,-0.152442
2020-09-29,0.246249,-0.031979,0.006165,0.053161,-0.262433
2020-10-06,0.246249,-0.031979,0.006165,0.053161,-0.262433
2020-10-13,0.295178,-0.031979,-0.056642,0.105907,-0.295178
2020-10-20,0.295178,-0.031979,-0.056642,0.105907,-0.295178
2020-10-27,0.123463,-0.014838,0.029262,0.084887,-0.190958
2020-11-03,0.123463,-0.014838,0.029262,0.084887,-0.190958
2020-11-10,0.29247,-0.092104,0.029262,0.084887,-0.29247
2020-11-17,0.29247,-0.092104,0.029262,0.084887,-0.29247
2020-11-24,0.083006,-0.025283,0.044471,0.084887,-0.183964
2020-12-02,0.083006,-0.025283,0.044471,0.084887,-0.183964
2020-12-09,-0.102338,0.025937,0.044471,0.111169,-0.046811
2020-12-16,-0.102338,0.025937,0.044471,0.111169,-0.046811
2020-12-23,-0.128599,0.058008,0.044471,0.111169,-0.046811
2020-12-31,-0.128599,0.058008,0.044471,0.111169,-0.046811
2021-01-08,-0.128599,0.058008,0.044471,0.111169,-0.046811
2021-01-15,-0.128599,0.058008,0.044471,0.111169,-0.046811
2021-01-25,-0.128599,0.140308,-0.003137,0.111169,-0.071206
2021-02-01,-0.128599,0.140308,-0.003137,0.111169,-0.071206
2021-02-08,-0.128599,0.089632,0.036323,0.087149,-0.071206
2021-02-16,-0.128599,0.089632,0.036323,0.087149,-0.071206
2021-02-23,-0.128599,0.063166,0.073344,0.057927,-0.071206
2021-03-02,-0.128599,0.063166,0.073344,0.057927,-0.071206
2021-03-09,-0.106979,0.063166,0.073344,0.057927,-0.071206
2021-03-16,-0.106979,0.063166,0.073344,0.057927,-0.071206
2021-03-23,-0.106979,0.091548,0.031944,0.057927,-0.071206
2021-03-30,-0.106979,0.091548,0.031944,0.057927,-0.071206
2021-04-07,-0.16431,0.040717,0.031944,0.16431,-0.109216
2021-04-14,-0.16431,0.040717,0.031944,0.16431,-0.109216
2021-04-21,-0.111756,0.040717,0.058476,0.082567,-0.084687
2021-04-28,-0.111756,0.040717,0.058476,0.082567,-0.084687
2021-05-05,-0.111756,0.040717,0.058476,0.082567,-0.084687
2021-05-12,-0.111756,0.040717,0.058476,0.082567,-0.084687
2021-05-19,0.02453,-0.04182,0.058476,0.163793,-0.163793
2021-05-26,0.02453,-0.04182,0.058476,0.163793,-0.163793
2021-06-03,0.153601,-0.159569,0.058476,0.192024,-0.240161
2021-06-10,0.153601,-0.159569,0.058476,0.192024,-0.240161
2021-06-17,0.257613,-0.052312,-0.068153,0.164308,-0.240161
2021-06-24,0.257613,-0.052312,-0.068153,0.164308,-0.240161
2021-07-01,0.131604,-0.125907,0.000795,0.164308,-0.108713
2021-07-09,0.131604,-0.125907,0.000795,0.164308,-0.108713
2021-07-16,-0.043206,-0.052838,0.000795,0.164308,0.043409
2021-07-23,-0.043206,-0.052838,0.000795,0.164308,0.043409
2021-07-30,0.060587,-0.204084,0.000795,0.134429,0.158492
2021-08-06,0.060587,-0.204084,0.000795,0.134429,0.158492
2021-08-13,-0.1052,-0.26055,0.070793,0.155318,0.208139
2021-08-20,-0.1052,-0.26055,0.070793,0.155318,0.208139
2021-08-27,-0.1052,-0.26055,0.043469,0.155318,0.208139
2021-09-03,-0.1052,-0.26055,0.043469,0.155318,0.208139
2021-09-13,-0.201698,-0.198302,0.085383,0.202526,0.112091
2021-09-20,-0.201698,-0.198302,0.085383,0.202526,0.112091
2021-09-27,-0.259542,-0.107888,0.085383,0.156746,0.190505
2021-10-04,-0.259542,-0.107888,0.085383,0.156746,0.190505
2021-10-11,-0.100696,-0.107888,0.006547,0.043037,0.141896
2021-10-18,-0.100696,-0.107888,0.006547,0.043037,0.141896
2021-10-25,-0.136737,-0.020155,0.054983,0.12488,-0.004051
2021-11-01,-0.136737,-0.020155,0.054983,0.12488,-0.004051
2021-11-08,-0.136737,-0.072216,0.098786,0.186036,-0.115753
2021-11-15,-0.136737,-0.072216,0.098786,0.186036,-0.115753
2021-11-22,0.024338,0.020271,0.030452,0.107931,-0.115753
2021-11-30,0.024338,0.020271,0.030452,0.107931,-0.115753
2021-12-07,-0.03504,-0.117757,0.075672,0.151209,-0.001658
2021-12-14,-0.03504,-0.117757,0.075672,0.151209,-0.001658
2021-12-21,-0.143467,-0.237392,0.135051,0.200276,0.061835
2021-12-29,-0.143467,-0.237392,0.135051,0.200276,0.061835
2022-01-05,0.082902,-0.29208,0.097949,0.172294,0.115694
2022-01-12,0.082902,-0.29208,0.097949,0.172294,0.115694
2022-01-20,-0.000632,-0.142096,0.097949,0.145581,-0.024074
2022-01-27,-0.000632,-0.142096,0.097949,0.145581,-0.024074
