,equity
2020-07-06,0.9960008335454102
2020-07-13,1.000345721023938
2020-07-20,0.9998976483748795
2020-07-27,1.0012904933207598
2020-08-03,0.9981314068524944
2020-08-10,0.9975214795968013
2020-08-17,0.9963807329481923
2020-08-24,0.9950161515146957
2020-08-31,0.9949426707491074
2020-09-08,1.0030630539981134
2020-09-15,1.0017532647122458
2020-09-22,1.001169887359482
2020-09-29,1.0004024041102697
2020-10-06,1.0048319454865615
2020-10-13,1.0041496789716622
2020-10-20,1.0033850095062151
2020-10-27,1.0012467121130548
2020-11-03,1.0053560368410672
2020-11-10,1.0091872894270904
2020-11-17,1.0113895712920147
2020-11-24,1.0143333562046497
2020-12-02,1.0136661613471203
2020-12-09,1.0175519238650996
2020-12-16,1.0154249575375336
2020-12-23,1.015068448354088
2020-12-31,1.0147822648968627
2021-01-08,1.0129324712182461
2021-01-15,1.0147766817321113
2021-01-25,1.0153159932931604
2021-02-01,1.0118554737015593
2021-02-08,1.0148449627294491
2021-02-16,1.0136349032304617
2021-02-23,1.0110505708695803
2021-03-02,1.0079699430568199
2021-03-09,1.0088054491670804
2021-03-16,1.0057451536966033
2021-03-23,1.0008155051429066
2021-03-30,1.0063874001603226
2021-04-07,1.0010274890751265
2021-04-14,1.0065986357478878
2021-04-21,1.0107911405410668
2021-04-28,1.0121812453831462
2021-05-05,1.0119203971105475
2021-05-12,1.0101761954283366
2021-05-19,1.007927297029296
2021-05-26,1.0106973334875988
2021-06-03,1.0118559695184122
2021-06-10,1.0073542344646158
2021-06-17,1.0059843584444594
2021-06-24,1.0058525295783398
2021-07-01,1.0073085072218255
2021-07-09,1.008891454699017
2021-07-16,1.0080595828593257
2021-07-23,1.0057325563949613
2021-07-30,1.0056259135380272
2021-08-06,1.0085553100509232
2021-08-13,1.007707563396136
2021-08-20,1.0113048163361642
2021-08-27,1.015169445472569
2021-09-03,1.0119931824061914
