,GLD,IWM,QQQ,SPY,TLT
2020-07-06,0.2,0.0,-0.2,0.0,0.0
2020-07-13,0.2,0.0,-0.2,0.0,0.0
2020-07-20,0.2,-0.136544,-0.063721,0.0,0.0
2020-07-27,0.2,-0.136544,-0.063721,0.0,0.0
2020-08-03,0.063278,-0.043201,-0.125907,0.0,0.107748
2020-08-10,0.063278,-0.043201,-0.125907,0.0,0.107748
2020-08-17,0.016847,-0.011502,-0.147625,0.0,0.14279
2020-08-24,0.016847,-0.011502,-0.147625,0.0,0.14279
2020-08-31,0.016847,-0.011502,-0.147625,0.0,0.14279
2020-09-08,0.016847,-0.011502,-0.147625,0.0,0.14279
2020-09-15,-0.169534,-0.011502,-0.060787,0.0,0.235266
2020-09-22,-0.169534,-0.011502,-0.060787,0.0,0.235266
2020-09-29,-0.098563,0.1189,-0.160927,0.0,0.136779
2020-10-06,-0.098563,0.1189,-0.160927,0.0,0.136779
2020-10-13,-0.040585,0.225429,-0.242735,0.0,0.056321
2020-10-20,-0.040585,0.225429,-0.242735,0.0,0.056321
2020-10-27,-0.040585,0.258835,-0.110408,0.0,0.189202
2020-11-03,-0.040585,0.258835,-0.110408,0.0,0.189202
2020-11-10,-0.157062,0.230127,-0.036962,0.0,0.06334
2020-11-17,-0.157062,0.230127,-0.036962,0.0,0.06334
2020-11-24,-0.064673,0.271229,-0.19169,0.0,0.026081
2020-12-02,-0.064673,0.271229,-0.19169,0.0,0.026081
2020-12-09,-0.022708,0.095234,-0.217786,0.0,0.159638
2020-12-16,-0.022708,0.095234,-0.217786,0.0,0.159638
2020-12-23,-0.022708,0.023309,-0.158197,0.0,0.159638
2020-12-31,-0.022708,0.023309,-0.158197,0.0,0.159638
2021-01-08,-0.022708,0.023309,-0.158197,0.0,0.159638
2021-01-15,-0.022708,0.023309,-0.158197,0.0,0.159638
2021-01-25,-0.022708,0.023309,-0.158197,0.0,0.159638
2021-02-01,-0.022708,0.023309,-0.158197,0.0,0.159638
2021-02-08,-0.022708,0.186068,-0.24161,0.0,0.065733
2021-02-16,-0.022708,0.186068,-0.24161,0.0,0.065733
2021-02-23,-0.022708,0.243529,-0.109044,0.0,0.19398
2021-03-02,-0.022708,0.243529,-0.109044,0.0,0.19398
2021-03-09,-0.022708,0.115118,-0.051546,-0.158187,0.249883
2021-03-16,-0.022708,0.115118,-0.051546,-0.158187,0.249883
2021-03-23,-0.022708,0.20301,-0.16966,-0.082986,0.13109
2021-03-30,-0.022708,0.20301,-0.16966,-0.082986,0.13109
2021-04-07,-0.022708,0.260063,-0.24633,-0.034171,0.053978
2021-04-14,-0.022708,0.260063,-0.24633,-0.034171,0.053978
2021-04-21,-0.022708,0.283555,-0.277901,-0.01407,0.022226
2021-04-28,-0.022708,0.283555,-0.277901,-0.01407,0.022226
2021-05-05,-0.022708,0.283555,-0.277901,-0.01407,0.022226
2021-05-12,-0.022708,0.283555,-0.277901,-0.01407,0.022226
2021-05-19,-0.122049,0.18197,-0.178341,-0.01407,0.12174
2021-05-26,-0.122049,0.18197,-0.178341,-0.01407,0.12174
2021-06-03,-0.050256,0.251399,-0.249905,-0.01407,0.050128
2021-06-10,-0.050256,0.251399,-0.249905,-0.01407,0.050128
2021-06-17,-0.017298,0.086534,-0.249905,-0.01407,0.164772
2021-06-24,-0.017298,0.086534,-0.249905,-0.01407,0.164772
2021-07-01,-0.017298,0.212102,-0.279373,-0.01407,0.067847
2021-07-09,-0.017298,0.212102,-0.279373,-0.01407,0.067847
2021-07-16,-0.017298,0.263807,-0.279373,-0.01407,0.027937
2021-07-23,-0.017298,0.263807,-0.279373,-0.01407,0.027937
2021-07-30,-0.017298,0.285097,-0.279373,-0.01407,0.027937
2021-08-06,-0.017298,0.285097,-0.279373,-0.01407,0.027937
2021-08-13,-0.017298,0.285097,-0.119352,-0.01407,0.168097
2021-08-20,-0.017298,0.285097,-0.119352,-0.01407,0.168097
2021-08-27,-0.140115,0.22427,-0.037506,-0.01407,0.052824
2021-09-03,-0.140115,0.22427,-0.037506,-0.01407,0.052824
