,equity
2020-07-06,0.996409873001938
2020-07-13,0.999773831328876
2020-07-20,1.003099404767399
2020-07-27,1.0061439014389988
2020-08-03,1.0048879929593924
2020-08-10,1.0043758945895476
2020-08-17,1.0080504312374685
2020-08-24,1.0047047747307454
2020-08-31,1.006919236719799
2020-09-08,1.010903987949973
2020-09-15,1.0116525299073305
2020-09-22,1.011533415433307
2020-09-29,1.0124282233025126
2020-10-06,1.0077523272623699
2020-10-13,1.0025700248416187
2020-10-20,1.006144028068833
2020-10-27,1.0044308106110662
2020-11-03,1.008480095678753
2020-11-10,1.009636383008766
2020-11-17,1.007478703356344
2020-11-24,1.0135035807130397
2020-12-02,1.0145748107614465
2020-12-09,1.0146129708709737
2020-12-16,1.0140652937456764
2020-12-23,1.013958413822093
2020-12-31,1.0140184714535618
2021-01-08,1.0231253515083523
2021-01-15,1.0230477069318236
2021-01-25,1.022741254864576
2021-02-01,1.0262299019451235
2021-02-08,1.0282082427529478
2021-02-16,1.029686892492172
2021-02-23,1.0301905034127037
2021-03-02,1.0269150322953924
2021-03-09,1.0234743755518891
2021-03-16,1.0235409250296834
2021-03-23,1.0209995601630835
2021-03-30,1.0234663154592183
2021-04-07,1.0256592457195204
2021-04-14,1.0265676451338326
2021-04-21,1.0264158744999543
2021-04-28,1.025515875941932
2021-05-05,1.0241978186992766
2021-05-12,1.0231174409952368
2021-05-19,1.0228285362000318
2021-05-26,1.023786296775106
2021-06-03,1.0208584379428156
2021-06-10,1.0210121473548468
2021-06-17,1.0134577444907682
2021-06-24,1.0142705156765321
2021-07-01,1.0140605418158475
2021-07-09,1.0164037248655864
2021-07-16,1.0159796854241403
2021-07-23,1.018302752191177
2021-07-30,1.0193855812348283
2021-08-06,1.0174352280341745
2021-08-13,1.0182061887576253
2021-08-20,1.0159768656352361
2021-08-27,1.007888903541558
2021-09-03,1.006473631214568
