,GLD,IWM,QQQ,SPY,TLT
2020-07-06,0.168081,0.0,-0.109103,-0.106613,0.0
2020-07-13,0.168081,0.0,-0.109103,-0.106613,0.0
2020-07-20,0.168081,-0.146765,0.091781,-0.054262,0.0
2020-07-27,0.168081,-0.146765,0.091781,-0.054262,0.0
2020-08-03,0.225278,0.002709,-0.07802,-0.030735,0.0
2020-08-10,0.225278,0.002709,-0.07802,-0.030735,0.0
2020-08-17,0.225278,-0.086335,-0.029579,-0.094232,0.0
2020-08-24,0.225278,-0.086335,-0.029579,-0.094232,0.0
2020-08-31,0.159988,-0.135066,-0.00866,-0.027588,0.080853
2020-09-08,0.159988,-0.135066,-0.00866,-0.027588,0.080853
2020-09-15,0.087358,-0.209941,0.116693,-0.027588,-0.04629
2020-09-22,0.087358,-0.209941,0.116693,-0.027588,-0.04629
2020-09-29,0.169527,-0.128816,0.071601,0.065989,-0.144328
2020-10-06,0.169527,-0.128816,0.071601,0.065989,-0.144328
2020-10-13,0.169527,-0.056907,0.031631,0.154871,-0.229422
2020-10-20,0.169527,-0.056907,0.031631,0.154871,-0.229422
2020-10-27,0.040333,0.039791,0.007526,0.099906,-0.134383
2020-11-03,0.040333,0.039791,0.007526,0.099906,-0.134383
2020-11-10,0.099522,0.013467,0.007526,0.127475,-0.172398
2020-11-17,0.099522,0.013467,0.007526,0.127475,-0.172398
2020-11-24,-0.090912,0.013467,0.007526,0.165825,-0.172398
2020-12-02,-0.090912,0.013467,0.007526,0.165825,-0.172398
2020-12-09,-0.116239,0.07394,0.007526,0.134929,-0.043011
2020-12-16,-0.116239,0.07394,0.007526,0.134929,-0.043011
2020-12-23,-0.185266,0.027886,0.007526,0.192314,-0.136048
2020-12-31,-0.185266,0.027886,0.007526,0.192314,-0.136048
2021-01-08,-0.211621,0.027886,0.007526,0.214283,-0.167182
2021-01-15,-0.211621,0.027886,0.007526,0.214283,-0.167182
2021-01-25,-0.139407,0.091441,0.007526,0.14004,-0.03973
2021-02-01,-0.139407,0.091441,0.007526,0.14004,-0.03973
2021-02-08,-0.139407,0.091441,0.007526,0.14004,-0.01012
2021-02-16,-0.139407,0.091441,0.007526,0.14004,-0.01012
2021-02-23,-0.18313,0.032553,0.007526,0.182821,-0.11425
2021-03-02,-0.18313,0.032553,0.007526,0.182821,-0.11425
2021-03-09,-0.208519,0.012162,0.007526,0.208404,-0.169885
2021-03-16,-0.208519,0.012162,0.007526,0.208404,-0.169885
2021-03-23,-0.22921,0.012162,0.007526,0.229165,-0.202384
2021-03-30,-0.22921,0.012162,0.007526,0.229165,-0.202384
2021-04-07,-0.22921,0.012162,0.007526,0.229165,-0.202384
2021-04-14,-0.22921,0.012162,0.007526,0.229165,-0.202384
2021-04-21,-0.22921,0.012162,0.007526,0.229165,-0.202384
2021-04-28,-0.22921,0.012162,0.007526,0.229165,-0.202384
2021-05-05,-0.22921,0.012162,0.007526,0.229165,-0.202384
2021-05-12,-0.22921,0.012162,0.007526,0.229165,-0.202384
2021-05-19,0.024532,0.012162,0.007526,0.190329,-0.202384
2021-05-26,0.024532,0.012162,0.007526,0.190329,-0.202384
2021-06-03,0.138981,0.012162,0.007526,0.16772,-0.202384
2021-06-10,0.138981,0.012162,0.007526,0.16772,-0.202384
2021-06-17,0.138981,0.012162,0.007526,0.16772,-0.202384
2021-06-24,0.138981,0.012162,0.007526,0.16772,-0.202384
2021-07-01,0.017767,-0.07712,0.091176,0.119751,-0.1445
2021-07-09,0.017767,-0.07712,0.091176,0.119751,-0.1445
2021-07-16,-0.107718,-0.046665,0.055171,0.1619,0.021406
2021-07-23,-0.107718,-0.046665,0.055171,0.1619,0.021406
2021-07-30,-0.047875,-0.187407,0.024521,0.1619,0.127049
2021-08-06,-0.047875,-0.187407,0.024521,0.1619,0.127049
2021-08-13,-0.186808,-0.249959,0.024521,0.231513,0.056466
2021-08-20,-0.186808,-0.249959,0.024521,0.231513,0.056466
2021-08-27,-0.221562,-0.249959,0.024521,0.231513,0.023189
2021-09-03,-0.221562,-0.249959,0.024521,0.231513,0.023189
