asset,mean_contribution,cum_contribution,avg_abs_weight
IWM,0.00039189743675861825,0.004709184580039549,0.019435583333333336
XLU,0.0003787758703778382,0.0045453959904404595,0.03222008333333333
XLI,0.00032390360931927066,0.003890414489809091,0.020146833333333333
XLV,0.0003188801351563252,0.003829298221591282,0.037745166666666656
QUAL,0.00026318625557786963,0.0031590478201244387,0.03070475
SLV,0.00026164110579135496,0.0031295997380760276,0.03869775
XLY,0.00024063445041154442,0.002880384562603533,0.04687375
XLK,0.00023480968639004766,0.0027668065591128777,0.09545466666666667
QQQ,0.00020711111988820912,0.0024470734669022054,0.10324166666666668
MDY,0.00014336863087813475,0.0017209028935611936,0.010223166666666667
EEM,0.00011656526029608045,0.0013985428614156081,0.027193833333333334
LQD,0.00011163546923274177,0.0013397999787421178,0.025432
SPY,0.00011094760847258045,0.0013261552921868258,0.03254708333333333
XLP,9.287849390356236e-05,0.0011146226177352059,0.017681666666666665
USMV,9.028801744725272e-05,0.001083403148355977,0.015342833333333332
XLF,8.894421051907015e-05,0.0010671850638508396,0.017099
HYG,3.5253041717597424e-05,0.00042287543320806975,0.025316583333333333
TLT,1.74536073061556e-05,0.00020263062928371767,0.040015749999999996
MTUM,7.72619682580269e-06,7.829993527330714e-05,0.0484605
EFA,0.0,0.0,0.0
XLRE,0.0,0.0,0.0
XLE,0.0,0.0,0.0
USO,-2.6497823866729565e-06,-3.179738864012016e-05,0.0017461666666666667
SHY,-8.132626304446582e-06,-9.760122402013849e-05,0.11366591666666666
TIP,-3.759788584012298e-05,-0.00045122789843998756,0.038246333333333334
GLD,-4.88188753354586e-05,-0.0005954682255965293,0.05602116666666668
IEF,-7.426494598733556e-05,-0.0008914015621975802,0.05056958333333333
XLC,-0.00014880863653132345,-0.001788268550854899,0.027823833333333336
