asset,mean_contribution,cum_contribution,avg_abs_weight
XLE,0.00021389758276077535,0.01730919039849943,0.047010135802469134
USO,0.0001602822203070153,0.012983513946473124,0.035539172839506174
XLU,0.00015807851127273162,0.012841286979217825,0.04126690123456791
XLI,0.0001328883836594699,0.010810438405584044,0.04090437037037037
MTUM,0.00012709198154812868,0.010317530779736295,0.038200123456790115
XLK,0.00012326957036006488,0.009962674847142194,0.061644987654320985
XLF,0.00011643355881108297,0.009460036221754065,0.048535123456790126
GLD,9.637994784033146e-05,0.007787020716303106,0.059976666666666664
QQQ,7.157043371138941e-05,0.005764277361093528,0.06059017283950617
SPY,6.693945044341288e-05,0.005413628953793159,0.030963543209876543
XLY,6.224807591562214e-05,0.00503561565684274,0.031521999999999994
XLRE,5.189544327402894e-05,0.004207594782285939,0.03129971604938272
IWM,4.4531342322572515e-05,0.0036018283236152193,0.023180703703703703
MDY,4.273256831966674e-05,0.0034624583891571525,0.020223432098765433
QUAL,4.0919309019465296e-05,0.003308765868465846,0.04406087654320988
USMV,2.8047454255129484e-05,0.0022693255508927646,0.030804086419753084
XLC,2.5379290916236866e-05,0.002023809227268192,0.05042653086419753
XLP,1.6249430251312564e-05,0.0013090450880735016,0.02831858024691358
HYG,1.5996963881349513e-05,0.001295920407815787,0.024499345679012345
LQD,1.5547676162503465e-05,0.0012597282734587711,0.016086567901234573
TLT,1.4234749263625673e-05,0.0011514937320311613,0.014655209876543208
XLV,1.4300807972553065e-05,0.001148652725324606,0.024148617283950617
TIP,1.1938810629754528e-05,0.0009674405026822708,0.015943024691358026
SHY,8.41745541601762e-06,0.0006818918085682579,0.06284962962962963
IEF,5.165795491183719e-06,0.0004181924184127883,0.01968903703703704
EFA,-5.1027132343437395e-05,-0.004133706250588509,0.02787127160493827
EEM,-5.645100078576122e-05,-0.00456768219669923,0.022573024691358023
SLV,-0.00020339893268483418,-0.01650308893436181,0.042390407407407404
