asset,mean_contribution,cum_contribution,avg_abs_weight
XLE,0.00021389771172090923,0.017309201189959378,0.047010135802469134
USO,0.00016028100526751152,0.012983414103028501,0.03553924691358025
XLU,0.00015807623164816275,0.012841100739887201,0.04126672839506173
XLI,0.00013288824819473015,0.01081042734298121,0.04090445679012346
MTUM,0.0001270929102510455,0.0103176068509796,0.03820006172839506
XLK,0.0001232703704778169,0.009962741438077849,0.06164486419753087
XLF,0.00011643497704507873,0.009460152211353101,0.04853532098765432
GLD,9.638057639129157e-05,0.007787071988718308,0.05997654320987653
QQQ,7.156839778894835e-05,0.0057641116581999,0.060590283950617274
SPY,6.693963805326034e-05,0.005413644151663233,0.03096356790123457
XLY,6.224909864190426e-05,0.005035698999797944,0.031522012345679015
XLRE,5.18964978750706e-05,0.004207680401009828,0.031299839506172836
IWM,4.4530881411599674e-05,0.003601790430330265,0.0231809012345679
MDY,4.273314398513726e-05,0.0034625051941234997,0.020223444444444443
QUAL,4.0920540864769294e-05,0.0033088659753193195,0.04406085185185186
USMV,2.804650250913067e-05,0.002269248259958667,0.03080406172839506
XLC,2.537965183069512e-05,0.0020238386431270516,0.050426481481481475
XLP,1.6250588701061412e-05,0.0013091390043709072,0.028318654320987652
HYG,1.5995530973722952e-05,0.0012958041775139595,0.02449916049382716
LQD,1.5547430952330434e-05,0.0012597084080983034,0.016086703703703704
TLT,1.4234899220199747e-05,0.0011515058501834208,0.014655209876543208
XLV,1.4300557274061397e-05,0.0011486325059244518,0.02414858024691358
TIP,1.1938891240113954e-05,0.0009674470385652167,0.015942962962962964
SHY,8.415737058165774e-06,0.0006817525507587519,0.06284924691358025
IEF,5.166731261683306e-06,0.0004182682759987788,0.01968872839506173
EFA,-5.102699848236188e-05,-0.004133695463675591,0.027871358024691355
EEM,-5.645006571662544e-05,-0.0045676068355479105,0.022573049382716048
SLV,-0.00020339889185266486,-0.016503086045051463,0.04239069135802469
