asset,mean_contribution,cum_contribution,avg_abs_weight
SLV,0.00017660188536044725,0.014145905987410723,0.04897213580246913
GLD,0.00012459235096953124,0.010115561787282568,0.045847925925925924
XLC,6.822277471318987e-05,0.005533186118049871,0.027274999999999997
XLK,5.5436556821484214e-05,0.004484109741557996,0.03644661728395062
QQQ,3.4583190397875116e-05,0.002795927902866424,0.02597982716049383
USO,3.2960808585433875e-05,0.0025666079488682048,0.07504517283950617
XLRE,2.5790900393964996e-05,0.0020838384187702452,0.035306024691358025
SPY,1.2068219040116859e-05,0.0009772944556512009,0.010188925925925926
LQD,1.0026441197130384e-05,0.0008113486473395604,0.020397543209876544
EWJ,9.556392218675001e-06,0.0007699343272660197,0.021002012345679014
XLF,8.663055961115743e-06,0.0006963920237705867,0.0272373086419753
SHY,6.324627260476247e-06,0.0005123168963587776,0.05255653086419753
TIP,5.375142862740806e-06,0.00043530003620428914,0.018824283950617287
XLI,4.589305476383332e-06,0.00037023804999614107,0.015948
HYG,4.3818772786851026e-06,0.0003548033185145627,0.016691086419753084
XLE,1.2922519637345144e-06,1.1639286987108477e-05,0.07030191358024691
QUAL,-7.833314901991015e-06,-0.000635618976388086,0.01858169135802469
EEM,-8.244942044710483e-06,-0.0006734551116394094,0.026919543209876544
IEF,-2.0977161988176988e-05,-0.001698819697132703,0.037426814814814816
XLU,-2.829306533420487e-05,-0.002306299957755553,0.03603751851851852
XLP,-2.9248235223858477e-05,-0.002368667396945079,0.023500197530864197
EFA,-3.374223351472411e-05,-0.0027333649911339686,0.016519271604938275
MDY,-3.531538614403154e-05,-0.0028581258490427697,0.016224765432098772
USMV,-3.919883699054118e-05,-0.003172298026337006,0.01788769135802469
MTUM,-3.985070968606417e-05,-0.0032265412361972556,0.018725444444444444
XLV,-5.079838620831225e-05,-0.004109862965436695,0.021450395061728394
XLY,-5.161275868961411e-05,-0.004177027688619495,0.023378777777777776
IWM,-7.481612990862776e-05,-0.006060742622541637,0.026978518518518513
TLT,-8.768793274437073e-05,-0.007090050900404599,0.05090230864197532
PDBC,-9.773165882834567e-05,-0.007902853655821995,0.05452891358024691
