asset,mean_contribution,cum_contribution,avg_abs_weight
GLD,0.0001428386836615714,0.011610998360360947,0.04456945679012345
SLV,0.00013399553174677965,0.01071782044716918,0.05083067901234569
XLC,8.424672250353011e-05,0.006837667615833487,0.02914827160493827
XLRE,5.833534914313564e-05,0.004729334559948839,0.03416313580246914
QQQ,5.378258417750055e-05,0.004355523081038815,0.02887428395061728
XLK,3.697399438198704e-05,0.0029822736614744105,0.034826975308641976
SPY,1.3582709962794737e-05,0.00109996282306013,0.011026382716049382
TIP,1.3359888820979143e-05,0.0010824864051821592,0.02169888888888889
EEM,1.0206306450548697e-05,0.0008223809048806263,0.0215278024691358
LQD,7.089071818479189e-06,0.0005731823361649901,0.02135022222222222
SHY,4.98349153806817e-06,0.0004036045135644706,0.05756786419753085
HYG,2.8367881561155814e-06,0.00022957232366627167,0.020214123456790124
XLI,2.078646228221439e-06,0.00016605022515681078,0.013081098765432099
QUAL,-7.278631050654591e-06,-0.0005907522974147872,0.017774493827160495
XLF,-1.354315190506805e-05,-0.0011024075475378758,0.026387444444444443
EWJ,-1.368074305329328e-05,-0.0011128569962828294,0.022536345679012346
XLP,-2.3828159191500998e-05,-0.0019309709894401728,0.0194829012345679
IEF,-2.527455921005155e-05,-0.002046180573514911,0.03518753086419753
MTUM,-2.629170285817623e-05,-0.002131059822461978,0.018866876543209874
USMV,-3.016805478874078e-05,-0.00244205584697621,0.017129617283950616
MDY,-3.3466167743035006e-05,-0.002708066110792662,0.01355398765432099
EFA,-3.7227806306729894e-05,-0.0030149116737602233,0.014884086419753086
USO,-4.299988102816589e-05,-0.003568339154648603,0.07412598765432099
XLU,-5.132461033266859e-05,-0.004165787570489021,0.031245061728395057
XLE,-5.137911466052206e-05,-0.004259364291013923,0.07428338271604938
XLY,-5.487663281757675e-05,-0.0044414365592853056,0.026827604938271608
IWM,-6.214627797200326e-05,-0.0050379040799625185,0.027146691358024694
XLV,-6.308161463578139e-05,-0.005100512153907055,0.020581925925925924
PDBC,-8.710393859075684e-05,-0.0070464788215229834,0.05223092592592592
TLT,-9.705468188589554e-05,-0.00784322077911992,0.048539074074074075
