asset,mean_contribution,cum_contribution,avg_abs_weight
GLD,0.00014283858542139892,0.011610990344717464,0.04456938271604938
SLV,0.00013399513806044126,0.010717787803129264,0.050830728395061725
XLC,8.424630273183174e-05,0.0068376334420459095,0.029148222222222218
XLRE,5.8334243997164305e-05,0.004729244584836589,0.03416306172839506
QQQ,5.3782343439086585e-05,0.004355503561350282,0.028874308641975304
XLK,3.697488413322097e-05,0.002982345857496238,0.03482679012345679
SPY,1.3582451687085509e-05,0.0010999418725154975,0.011026382716049382
TIP,1.3359570793801402e-05,0.0010824606057229236,0.02169841975308642
EEM,1.0207997894872272e-05,0.0008225179678282846,0.02152775308641975
LQD,7.087279150887861e-06,0.0005730371149419433,0.0213496049382716
SHY,4.980321986660745e-06,0.0004033476638158895,0.05756987654320987
HYG,2.8374213069374064e-06,0.00022962362805256653,0.02021377777777778
XLI,2.079758280573291e-06,0.0001661402551658142,0.013081172839506171
QUAL,-7.277773495073742e-06,-0.0005906828816989451,0.017774518518518516
XLF,-1.3543538510253629e-05,-0.0011024388617323355,0.02638741975308642
EWJ,-1.3681042191023583e-05,-0.0011128811408867012,0.02253624691358025
XLP,-2.3828510548267088e-05,-0.001930999394706534,0.019482851851851852
IEF,-2.5274061877923465e-05,-0.002046140359749593,0.035187333333333334
MTUM,-2.6289835471792292e-05,-0.0021309087185178432,0.018866567901234567
USMV,-3.0167746063140226e-05,-0.0024420308732546747,0.017129592592592592
MDY,-3.346592441185615e-05,-0.002708046432218336,0.013553913580246912
EFA,-3.722716413094235e-05,-0.003014859827667138,0.01488406172839506
USO,-4.3001237823438504e-05,-0.003568449785902539,0.07412606172839505
XLU,-5.132449210443115e-05,-0.00416577812914487,0.031244987654320985
XLE,-5.1381641433668883e-05,-0.004259567326270974,0.07428320987654322
XLY,-5.487613593357034e-05,-0.004441396463585212,0.02682750617283951
IWM,-6.214670893184652e-05,-0.005037938939055686,0.02714656790123457
XLV,-6.308116069647813e-05,-0.005100475579720487,0.020581901234567903
PDBC,-8.710354601020811e-05,-0.007046447322834326,0.0522308024691358
TLT,-9.705445125609286e-05,-0.007843202001690086,0.04853919753086419
