asset,mean_contribution,cum_contribution,avg_abs_weight
SLV,0.00021632055495193712,0.017440085589379928,0.05188601234567902
GLD,0.00015375377553904964,0.012484563232469492,0.04893929629629629
XLC,7.462641507421744e-05,0.006053780391734875,0.03615816049382716
XLK,5.120369831510849e-05,0.004134955992318723,0.045707382716049384
XLRE,4.793655520316989e-05,0.003885974845980522,0.0291749012345679
QQQ,2.796986180976331e-05,0.002255360475483137,0.03520303703703703
LQD,2.0776978948531022e-05,0.001682932489161626,0.022741000000000004
XLF,1.8499254055500755e-05,0.0014936043463407156,0.028898209876543207
TIP,1.7929621486687848e-05,0.0014529630495181411,0.024790604938271607
SHY,1.3535862482917898e-05,0.0010968461882314706,0.059575185185185196
EEM,5.58250600756183e-06,0.0004487920886588892,0.02257656790123456
HYG,1.273677473756652e-06,0.000102895825759175,0.02755234567901235
QUAL,-5.729598156001434e-06,-0.00046582640741743564,0.023374444444444444
MTUM,-1.0775127715726957e-05,-0.0008790906882423233,0.026455864197530862
SPY,-1.0881584324084859e-05,-0.0008829445585687434,0.023823123456790125
USMV,-1.2028230894823305e-05,-0.0009756355684149565,0.02485346913580247
IEF,-1.355846193129576e-05,-0.001098685321579529,0.030468098765432102
USO,-1.7598445115758007e-05,-0.0015848717665478684,0.07083976543209876
EWJ,-2.5415870893291405e-05,-0.00205968225717168,0.021248617283950617
MDY,-3.353117291821485e-05,-0.002714237767275862,0.011381197530864199
EFA,-3.6174769235260094e-05,-0.0029292228890522853,0.021353197530864194
XLI,-3.937846600627991e-05,-0.003186222587661325,0.02120458024691358
XLU,-5.109450831744365e-05,-0.004148191008798485,0.03716912345679012
IWM,-5.515108581901356e-05,-0.004464674413921954,0.020803358024691358
XLV,-5.620834600736693e-05,-0.004546972989099229,0.029131790123456798
PDBC,-5.8663593311605043e-05,-0.004755675865301789,0.04529176543209877
TLT,-5.9700263357728814e-05,-0.004834887045655822,0.043549543209876536
XLP,-6.382246695971749e-05,-0.00515889790885915,0.026367925925925927
XLY,-7.867094424696931e-05,-0.006362105679780905,0.03229841975308642
XLE,-0.0001293403476908291,-0.010489245819111925,0.06182081481481481
