asset,mean_contribution,cum_contribution,avg_abs_weight
TLT,0.0005422998814531428,0.003254037745416438,0.10001899999999998
GLD,0.0003206382364213194,0.0019241748475644638,0.079832
IEF,0.00032042603911868964,0.0019227835587303233,0.119269
XLK,0.00018879622497901166,0.0011323341562137212,0.019186333333333333
XLE,0.0001359776062749678,0.0008155590037239868,0.017183000000000004
EEM,0.00011193313862772158,0.0006470258835766796,0.15315
SHY,9.46890127313549e-05,0.0005681184338874878,0.150626
PDBC,4.8094192771707555e-06,2.8809717067312945e-05,0.01361566666666667
MTUM,0.0,0.0,0.0
LQD,0.0,0.0,0.0
QQQ,0.0,0.0,0.0
HYG,0.0,0.0,0.0
IWM,0.0,0.0,0.0
EWJ,0.0,0.0,0.0
XLV,0.0,0.0,0.0
QUAL,0.0,0.0,0.0
MDY,0.0,0.0,0.0
TIP,0.0,0.0,0.0
XLC,0.0,0.0,0.0
USMV,0.0,0.0,0.0
XLI,0.0,0.0,0.0
SPY,0.0,0.0,0.0
XLY,0.0,0.0,0.0
XLF,-2.743114595424505e-06,-1.6605298538419078e-05,0.008911
XLU,-2.0305851489824457e-05,-0.00012183248360142507,0.015116333333333334
XLP,-5.867810087237458e-05,-0.0003520472360168947,0.016493999999999998
XLRE,-0.00012507167662294787,-0.000750278473571564,0.014437333333333332
EFA,-0.0001471933242517969,-0.0008917487746663566,0.132842
USO,-0.0004551962815126537,-0.0027295796084831903,0.041428
SLV,-0.0004983054061082399,-0.002988303949822413,0.04473566666666667
